id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000798,云南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,EDC9,英语（汽车贸易）（只招英语语种，不招收有发音或听力障碍者）,汽车贸易; 只招英语语种，不招收有发音或听力障碍者,,,,,521,25421,,,,,,521,25421,,,,,,,,,本科,,,,,
8000799,云南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,25DE,国际经济与贸易,,,,,,522,24966,,,,,,522,24966,,,,,,,,,本科,,,,,
8000800,云南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,CA0F,旅游管理,,,,,,524,24145,,,,,,524,24145,,,,,,,,,本科,,,,,
8000801,云南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,FB18,财务管理,,,,,,529,22075,,,,,,529,22075,,,,,,,,,本科,,,,,
8000802,云南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,927B,法学,,,,,,531,21304,,,,,,531,21304,,,,,,,,,本科,,,,,
8000803,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,F0A9,汽车服务工程（智能诊断）,智能诊断,,,,,490,56800,,,,,,490,56800,,,,,,,,,本科,,,,,
8000804,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,182C,材料物理（车载芯片）不招色盲、色弱者,车载芯片,,,,,490,56800,,,,,,490,56800,,,,,,,,,本科,,,,,
8000805,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,7BA9,高分子材料与工程（功能高分子材料）不招色盲、色弱者,功能高分子材料,,,,,491,56145,,,,,,491,56145,,,,,,,,,本科,,,,,
8000806,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,6FF7,材料成型及控制工程（数字化设计与智能成型）不招色盲、色弱者,数字化设计与智能成型,,,,,492,55466,,,,,,492,55466,,,,,,,,,本科,,,,,
8000807,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,493,54812,,,,,,493,54812,,,,,,,,,本科,,,,,
8000808,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,E4CD,智能制造工程（汽车方向）,汽车方向,,,,,494,54184,,,,,,494,54184,,,,,,,,,本科,,,,,
8000809,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,1380,电子信息工程（含汽车电子工程、湖北省产业计划）,含汽车电子工程、湖北省产业计划,,,,,501,49934,,,,,,501,49934,,,,,,,,,本科,,,,,
8000810,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,7B26,自动化（含电动汽车工程、湖北省产业计划）,含电动汽车工程、湖北省产业计划,,,,,502,49363,,,,,,502,49363,,,,,,,,,本科,,,,,
8000811,云南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,503,48778,,,,,,503,48778,,,,,,,,,本科,,,,,
8001370,云南,本科批,历史,,X4B1FD0,,井冈山大学,CA0F,旅游管理,,,,,,517,27137,,,,,,517,27137,,,,,,,,,本科,,,,,
8001371,云南,本科批,历史,,X4B1FD0,,井冈山大学,AC90,行政管理,,,,,,535,19771,,,,,,535,19771,,,,,,,,,本科,,,,,
8001372,云南,本科批,历史,,X4B1FD0,,井冈山大学,927B,法学,,,,,,538,18637,,,,,,538,18637,,,,,,,,,本科,,,,,
8001373,云南,本科批,物理,,X4B1FD0,,井冈山大学,FEF6,材料成型及控制工程,,,,,,481,62667,,,,,,481,62667,,,,,,,,,本科,,,,,
8001374,云南,本科批,物理,,X4B1FD0,,井冈山大学,3C38,软件工程,,,,,,483,61358,,,,,,483,61358,,,,,,,,,本科,,,,,
8001375,云南,本科批,物理,,X4B1FD0,,井冈山大学,0541,生物科学,,,,,,483,61358,,,,,,483,61358,,,,,,,,,本科,,,,,
8001376,云南,本科批,物理,,X4B1FD0,,井冈山大学,7932,电子信息科学与技术,,,,,,484,60708,,,,,,484,60708,,,,,,,,,本科,,,,,
8001377,云南,本科批,物理,,X4B1FD0,,井冈山大学,10A0,药学,,,,,,484,60708,,,,,,484,60708,,,,,,,,,本科,,,,,
8001737,云南,本科批,历史,,XDA307D,,中原工学院,09EE,市场营销,,,,,,493,38505,,,,,,493,38505,,,,,,,,,本科,,,,,
8001738,云南,本科批,历史,,XDA307D,,中原工学院,5E19,会计学,,,,,,493,38505,,,,,,493,38505,,,,,,,,,本科,,,,,
8001739,云南,本科批,物理,,XDA307D,,中原工学院,7102,土木类（包含专业：土木工程、城市地下空间工程）,包含专业：土木工程、城市地下空间工程,,,,,453,82032,,,,,,453,82032,,,,,,,,,本科,,,,,
8001740,云南,本科批,物理,,XDA307D,,中原工学院,371D,工程造价,,,,,,455,80627,,,,,,455,80627,,,,,,,,,本科,,,,,
8001741,云南,本科批,物理,,XDA307D,,中原工学院,7E23,环境工程,,,,,,456,79926,,,,,,456,79926,,,,,,,,,本科,,,,,
8001742,云南,本科批,物理,,XDA307D,,中原工学院,F620,安全工程,,,,,,457,79229,,,,,,457,79229,,,,,,,,,本科,,,,,
8001910,云南,本科批,历史,,XBE8F26,,贵州师范学院,CA0F,旅游管理,,,,,,506,32203,,,,,,506,32203,,,,,,,,,本科,,,,,
8001911,云南,本科批,物理,,XBE8F26,,贵州师范学院,A687,光电信息科学与工程,,,,,,478,64646,,,,,,478,64646,,,,,,,,,本科,,,,,
8001912,云南,本科批,物理,,XBE8F26,,贵州师范学院,6E9A,应用生物科学,,,,,,482,62012,,,,,,482,62012,,,,,,,,,本科,,,,,
8001913,云南,本科批,物理,,XBE8F26,,贵州师范学院,6472,野生动物与自然保护区管理,,,,,,483,61358,,,,,,483,61358,,,,,,,,,本科,,,,,
8001914,云南,本科批,物理,,XBE8F26,,贵州师范学院,C15F,生物科学（师范类）,师范类,,,,,492,55466,,,,,,492,55466,,,,,,,,,本科,,,,,
8002362,云南,本科批,历史,,X7F825D,,衡阳师范学院,E508,新闻学（东校区）,东校区,,,,,526,23315,,,,,,526,23315,,,,,,,,,本科,,,,,
8002363,云南,本科批,历史,,X7F825D,,衡阳师范学院,6BEC,人文地理与城乡规划（东校区）,东校区,,,,,527,22891,,,,,,527,22891,,,,,,,,,本科,,,,,
8002364,云南,本科批,历史,,X7F825D,,衡阳师范学院,25DE,国际经济与贸易,,,,,,533,20521,,,,,,533,20521,,,,,,,,,本科,,,,,
8002365,云南,本科批,历史,,X7F825D,,衡阳师范学院,04A8,地理科学（师范类）（东校区）,师范类; 东校区,,,,,538,18637,,,,,,538,18637,,,,,,,,,本科,,,,,
8002366,云南,本科批,历史,,X7F825D,,衡阳师范学院,2FB6,思想政治教育（师范类）（东校区）,师范类; 东校区,,,,,540,17872,,,,,,540,17872,,,,,,,,,本科,,,,,
8002367,云南,本科批,历史,,X7F825D,,衡阳师范学院,50BB,汉语言文学（师范类）（西校区）,师范类; 西校区,,,,,541,17502,,,,,,541,17502,,,,,,,,,本科,,,,,
8002368,云南,本科批,历史,,X7F825D,,衡阳师范学院,4126,法学（东校区）,东校区,,,,,562,10801,,,,,,562,10801,,,,,,,,,本科,,,,,
8002369,云南,本科批,物理,,X7F825D,,衡阳师范学院,DBC0,广告学（东校区）,东校区,,,,,466,72926,,,,,,466,72926,,,,,,,,,本科,,,,,
8002370,云南,本科批,物理,,X7F825D,,衡阳师范学院,8A1A,高分子材料与工程（西校区）,西校区,,,,,466,72926,,,,,,466,72926,,,,,,,,,本科,,,,,
8002371,云南,本科批,物理,,X7F825D,,衡阳师范学院,1BAF,旅游管理（东校区）,东校区,,,,,466,72926,,,,,,466,72926,,,,,,,,,本科,,,,,
8002372,云南,本科批,物理,,X7F825D,,衡阳师范学院,5CE3,国际经济与贸易（东校区）,东校区,,,,,469,70856,,,,,,469,70856,,,,,,,,,本科,,,,,
8002373,云南,本科批,物理,,X7F825D,,衡阳师范学院,4BB5,电子信息工程（东校区）,东校区,,,,,470,70191,,,,,,470,70191,,,,,,,,,本科,,,,,
8002374,云南,本科批,物理,,X7F825D,,衡阳师范学院,79B6,物联网工程（东校区）,东校区,,,,,470,70191,,,,,,470,70191,,,,,,,,,本科,,,,,
8002375,云南,本科批,物理,,X7F825D,,衡阳师范学院,5111,经济学（东校区）,东校区,,,,,472,68767,,,,,,472,68767,,,,,,,,,本科,,,,,
8002376,云南,本科批,物理,,X7F825D,,衡阳师范学院,8235,网络空间安全（东校区）,东校区,,,,,474,67415,,,,,,474,67415,,,,,,,,,本科,,,,,
8002377,云南,本科批,物理,,X7F825D,,衡阳师范学院,1638,数学与应用数学（师范类）东校区,师范类,,,,,476,66063,,,,,,476,66063,,,,,,,,,本科,,,,,
8002378,云南,本科批,物理,,X7F825D,,衡阳师范学院,8831,电子信息科学与技术（东校区）,东校区,,,,,477,65364,,,,,,477,65364,,,,,,,,,本科,,,,,
8002379,云南,本科批,物理,,X7F825D,,衡阳师范学院,4C7D,地理科学（师范类）东校区,师范类,,,,,486,59371,,,,,,486,59371,,,,,,,,,本科,,,,,
8002380,云南,本科批,物理,,X7F825D,,衡阳师范学院,9FEE,物理学（师范类）东校区,师范类,,,,,492,55466,,,,,,492,55466,,,,,,,,,本科,,,,,
8002913,云南,本科批,物理,,X8645C5,,南阳师范学院,E2E1,生物工程,,,,,,444,88262,,,,,,444,88262,,,,,,,,,本科,,,,,
8002914,云南,本科批,物理,,X8645C5,,南阳师范学院,FB18,财务管理,,,,,,452,82738,,,,,,452,82738,,,,,,,,,本科,,,,,
8002915,云南,本科批,物理,,X8645C5,,南阳师范学院,FBFE,物流管理,,,,,,453,82032,,,,,,453,82032,,,,,,,,,本科,,,,,
8002916,云南,本科批,物理,,X8645C5,,南阳师范学院,8E38,软件工程（软件工程专业）（智能设备方向）,软件工程专业; 智能设备方向,,,,,467,72259,,,,,,467,72259,,,,,,,,,本科,,,,,
8002917,云南,本科批,物理,,X8645C5,,南阳师范学院,D4C2,软件工程（软件工程专业）（网络攻防方向）,软件工程专业; 网络攻防方向,,,,,470,70191,,,,,,470,70191,,,,,,,,,本科,,,,,
8002918,云南,本科批,物理,,X8645C5,,南阳师范学院,521F,软件工程（软件工程专业）（软件开发方向）,软件工程专业; 软件开发方向,,,,,471,69472,,,,,,471,69472,,,,,,,,,本科,,,,,
8003315,云南,本科批,历史,,X7FF8DE,,贵州民族大学,5D6C,泰语（高考语文成绩须达到尚地语文单科成绩满分值的60%以上（含60%））,高考语文成绩须达到尚地语文单科成绩满分值的60%以上（含60%,,,,,513,28900,,,,,,513,28900,,,,,,,,,本科,,,,,
8003316,云南,本科批,历史,,X7FF8DE,,贵州民族大学,0863,老挝语（高考语文成绩须达到当地语文单科成绩满分值的60%以上（含60%））,高考语文成绩须达到当地语文单科成绩满分值的60%以上（含60%,,,,,529,22075,,,,,,529,22075,,,,,,,,,本科,,,,,
8003317,云南,本科批,历史,,X7FF8DE,,贵州民族大学,028E,越南语（高考语文成绩须达到当地语文单科成绩满分值的60%以上（含60%））,高考语文成绩须达到当地语文单科成绩满分值的60%以上（含60%,,,,,531,21304,,,,,,531,21304,,,,,,,,,本科,,,,,
8003318,云南,本科批,历史,,X7FF8DE,,贵州民族大学,E6CB,社会工作,,,,,,532,20900,,,,,,532,20900,,,,,,,,,本科,,,,,
8003319,云南,本科批,历史,,X7FF8DE,,贵州民族大学,487F,民族学,,,,,,534,20137,,,,,,534,20137,,,,,,,,,本科,,,,,
8003320,云南,本科批,历史,,X7FF8DE,,贵州民族大学,7022,社会学,,,,,,534,20137,,,,,,534,20137,,,,,,,,,本科,,,,,
8003321,云南,本科批,历史,,X7FF8DE,,贵州民族大学,32F0,文物与博物馆学,,,,,,537,19011,,,,,,537,19011,,,,,,,,,本科,,,,,
8003322,云南,本科批,历史,,X7FF8DE,,贵州民族大学,4873,历史学,,,,,,544,16400,,,,,,544,16400,,,,,,,,,本科,,,,,
8003323,云南,本科批,物理,,X7FF8DE,,贵州民族大学,5AB4,材料类（包含专业：材料科学与工程、高分子材料与工程、复合材料与工程）,包含专业：材料科学与工程、高分子材料与工程、复合材料与工程,,,,,420,104989,,,,,,420,104989,,,,,,,,,本科,,,,,
8003324,云南,本科批,物理,,X7FF8DE,,贵州民族大学,2D22,新闻传播学类（包含专业：新闻学、传播学、网络与新媒体）,包含专业：新闻学、传播学、网络与新媒体,,,,,487,58735,,,,,,487,58735,,,,,,,,,本科,,,,,
8003528,云南,本科批,物理,,XF64CFB,,常州工学院,D6ED,化学工程与工艺,,,,,,497,51724,,,,,,497,51724,,,,,,,,,本科,,,,,
8003529,云南,本科批,物理,,XF64CFB,,常州工学院,C0DA,应用统计学,,,,,,498,51135,,,,,,498,51135,,,,,,,,,本科,,,,,
8003530,云南,本科批,物理,,XF64CFB,,常州工学院,4C65,自动化,,,,,,499,50531,,,,,,499,50531,,,,,,,,,本科,,,,,
8003531,云南,本科批,物理,,XF64CFB,,常州工学院,A5B7,电气工程及其自动化,,,,,,504,47635,,,,,,504,47635,,,,,,,,,本科,,,,,
8003929,云南,本科批,历史,,X336DBD,,四川轻化工大学,CA0F,旅游管理,,,,,,550,14324,,,,,,550,14324,,,,,,,,,本科,,,,,
8003930,云南,本科批,历史,,X336DBD,,四川轻化工大学,DB75,广播电视学,,,,,,550,14324,,,,,,550,14324,,,,,,,,,本科,,,,,
8003931,云南,本科批,历史,,X336DBD,,四川轻化工大学,DBB2,历史学（师范类）,师范类,,,,,550,14324,,,,,,550,14324,,,,,,,,,本科,,,,,
8003932,云南,本科批,历史,,X336DBD,,四川轻化工大学,04A0,工商管理,,,,,,551,14034,,,,,,551,14034,,,,,,,,,本科,,,,,
8003933,云南,本科批,历史,,X336DBD,,四川轻化工大学,2234,劳动与社会保障,,,,,,552,13731,,,,,,552,13731,,,,,,,,,本科,,,,,
8003934,云南,本科批,历史,,X336DBD,,四川轻化工大学,FD19,英语（只招英语语种）,只招英语语种,,,,,556,12554,,,,,,556,12554,,,,,,,,,本科,,,,,
8003935,云南,本科批,历史,,X336DBD,,四川轻化工大学,927B,法学,,,,,,560,11341,,,,,,560,11341,,,,,,,,,本科,,,,,
8003936,云南,本科批,物理,,X336DBD,,四川轻化工大学,4EA7,新能源材料与器件,,,,,,514,42396,,,,,,514,42396,,,,,,,,,本科,,,,,
8003937,云南,本科批,物理,,X336DBD,,四川轻化工大学,5E49,食品科学与工程,,,,,,514,42396,,,,,,514,42396,,,,,,,,,本科,,,,,
8003938,云南,本科批,物理,,X336DBD,,四川轻化工大学,53B9,食品质量与安全,,,,,,514,42396,,,,,,514,42396,,,,,,,,,本科,,,,,
8003939,云南,本科批,物理,,X336DBD,,四川轻化工大学,548C,信息与计算科学,,,,,,514,42396,,,,,,514,42396,,,,,,,,,本科,,,,,
8003940,云南,本科批,物理,,X336DBD,,四川轻化工大学,51E3,智能无人系统技术,,,,,,515,41877,,,,,,515,41877,,,,,,,,,本科,,,,,
8003941,云南,本科批,物理,,X336DBD,,四川轻化工大学,2B47,智能建造,,,,,,515,41877,,,,,,515,41877,,,,,,,,,本科,,,,,
8003942,云南,本科批,物理,,X336DBD,,四川轻化工大学,F620,安全工程,,,,,,516,41326,,,,,,516,41326,,,,,,,,,本科,,,,,
8003943,云南,本科批,物理,,X336DBD,,四川轻化工大学,927B,法学,,,,,,516,41326,,,,,,516,41326,,,,,,,,,本科,,,,,
8003944,云南,本科批,物理,,X336DBD,,四川轻化工大学,26A7,车辆工程,,,,,,517,40780,,,,,,517,40780,,,,,,,,,本科,,,,,
8003945,云南,本科批,物理,,X336DBD,,四川轻化工大学,FD19,英语（只招英语语种）,只招英语语种,,,,,517,40780,,,,,,517,40780,,,,,,,,,本科,,,,,
8003946,云南,本科批,物理,,X336DBD,,四川轻化工大学,CA0F,旅游管理,,,,,,519,39624,,,,,,519,39624,,,,,,,,,本科,,,,,
8003947,云南,本科批,物理,,X336DBD,,四川轻化工大学,EAB4,轻化工程,,,,,,519,39624,,,,,,519,39624,,,,,,,,,本科,,,,,
8003948,云南,本科批,物理,,X336DBD,,四川轻化工大学,C0DA,应用统计学,,,,,,522,38020,,,,,,522,38020,,,,,,,,,本科,,,,,
8003949,云南,本科批,物理,,X336DBD,,四川轻化工大学,93E3,电子信息工程,,,,,,524,36994,,,,,,524,36994,,,,,,,,,本科,,,,,
8003950,云南,本科批,物理,,X336DBD,,四川轻化工大学,ECA4,通信工程,,,,,,527,35436,,,,,,527,35436,,,,,,,,,本科,,,,,
8004610,云南,专科批,物理,,XAEE2F7,,沈阳医学院,5935,康复治疗技术（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,428,99429,,,,,,428,99429,,,,,,,,,专科,,,,,
8004611,云南,专科批,物理,,XAEE2F7,,沈阳医学院,2013,医学检验技术（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,430,97971,,,,,,430,97971,,,,,,,,,专科,,,,,
8004612,云南,专科批,物理,,XAEE2F7,,沈阳医学院,D681,药学（外语只��英语授课，不招收色盲、色弱考生）,外语只��英语授课，不招收色盲、色弱考生,,,,,431,97290,,,,,,431,97290,,,,,,,,,专科,,,,,
8004613,云南,专科批,物理,,XAEE2F7,,沈阳医学院,AE48,护理（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,434,95287,,,,,,434,95287,,,,,,,,,专科,,,,,
8004614,云南,专科批,物理,,XAEE2F7,,沈阳医学院,2DDF,医学影像技术,,,,,,438,92461,,,,,,438,92461,,,,,,,,,专科,,,,,
8004615,云南,专科批,物理,,XAEE2F7,,沈阳医学院,A01C,医学影像技术（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,438,92461,,,,,,438,92461,,,,,,,,,专科,,,,,
8004616,云南,本科批,物理,,XAEE2F7,,沈阳医学院,6FF6,助产学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,469,70856,,,,,,469,70856,,,,,,,,,本科,,,,,
8004617,云南,本科批,物理,,XAEE2F7,,沈阳医学院,31E1,护理学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,473,68094,,,,,,473,68094,,,,,,,,,本科,,,,,
8004618,云南,本科批,物理,,XAEE2F7,,沈阳医学院,150B,大数据管理与应用（外语只用英语授课）,外语只用英语授课,,,,,507,46486,,,,,,507,46486,,,,,,,,,本科,,,,,
8004619,云南,本科批,物理,,XAEE2F7,,沈阳医学院,40B0,康复治疗学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,508,45936,,,,,,508,45936,,,,,,,,,本科,,,,,
8004620,云南,本科批,物理,,XAEE2F7,,沈阳医学院,2013,医学检验技术（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,511,44149,,,,,,511,44149,,,,,,,,,本科,,,,,
8004621,云南,本科批,物理,,XAEE2F7,,沈阳医学院,EA4B,医学信息工程（外语只用英语授课）,外语只用英语授课,,,,,511,44149,,,,,,511,44149,,,,,,,,,本科,,,,,
8004622,云南,本科批,物理,,XAEE2F7,,沈阳医学院,2249,药学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,515,41877,,,,,,515,41877,,,,,,,,,本科,,,,,
8004623,云南,本科批,物理,,XAEE2F7,,沈阳医学院,FD01,中药学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,515,41877,,,,,,515,41877,,,,,,,,,本科,,,,,
8004624,云南,本科批,物理,,XAEE2F7,,沈阳医学院,F528,预防医学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,516,41326,,,,,,516,41326,,,,,,,,,本科,,,,,
8004625,云南,本科批,物理,,XAEE2F7,,沈阳医学院,C847,食品质量与安全（外语只用英语授课）,外语只用英语授课,,,,,516,41326,,,,,,516,41326,,,,,,,,,本科,,,,,
8004626,云南,本科批,物理,,XAEE2F7,,沈阳医学院,FAE3,卫生检验与检疫（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,517,40780,,,,,,517,40780,,,,,,,,,本科,,,,,
8004627,云南,本科批,物理,,XAEE2F7,,沈阳医学院,3B3C,口腔医学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,519,39624,,,,,,519,39624,,,,,,,,,本科,,,,,
8004628,云南,本科批,物理,,XAEE2F7,,沈阳医学院,5FEC,麻醉学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,519,39624,,,,,,519,39624,,,,,,,,,本科,,,,,
8004629,云南,本科批,物理,,XAEE2F7,,沈阳医学院,19A2,精神医学（外语只用英语授课，不招收色盲、色弱考生）,外语只用英语授课，不招收色盲、色弱考生,,,,,519,39624,,,,,,519,39624,,,,,,,,,本科,,,,,
8004973,云南,本科批,历史,,XB1ED15,,南京晓庄学院,CA0F,旅游管理,,,,,,538,18637,,,,,,538,18637,,,,,,,,,本科,,,,,
8004974,云南,本科批,历史,,XB1ED15,,南京晓庄学院,FBFE,物流管理,,,,,,540,17872,,,,,,540,17872,,,,,,,,,本科,,,,,
8004975,云南,本科批,历史,,XB1ED15,,南京晓庄学院,5D72,网络与新媒体,,,,,,541,17502,,,,,,541,17502,,,,,,,,,本科,,,,,
8004976,云南,本科批,历史,,XB1ED15,,南京晓庄学院,DB75,广播电视学,,,,,,543,16788,,,,,,543,16788,,,,,,,,,本科,,,,,
8004977,云南,本科批,历史,,XB1ED15,,南京晓庄学院,DFD2,学前教育（师范类）,师范类,,,,,543,16788,,,,,,543,16788,,,,,,,,,本科,,,,,
8004978,云南,本科批,历史,,XB1ED15,,南京晓庄学院,9569,小学教育（师范类）,师范类,,,,,548,14981,,,,,,548,14981,,,,,,,,,本科,,,,,
8004979,云南,本科批,历史,,XB1ED15,,南京晓庄学院,DBB2,历史学（师范类）,师范类,,,,,549,14660,,,,,,549,14660,,,,,,,,,本科,,,,,
8004980,云南,本科批,历史,,XB1ED15,,南京晓庄学院,F338,英语（师范类）,师范类,,,,,551,14034,,,,,,551,14034,,,,,,,,,本科,,,,,
8004981,云南,本科批,物理,,XB1ED15,,南京晓庄学院,52FD,应用化学,,,,,,491,56145,,,,,,491,56145,,,,,,,,,本科,,,,,
8004982,云南,本科批,物理,,XB1ED15,,南京晓庄学院,E5C7,地理科学（师范类）,师范类,,,,,496,52968,,,,,,496,52968,,,,,,,,,本科,,,,,
8004983,云南,本科批,物理,,XB1ED15,,南京晓庄学院,4041,应用心理学（师范类）,师范类,,,,,499,51134,,,,,,499,51134,,,,,,,,,本科,,,,,
8004984,云南,本科批,物理,,XB1ED15,,南京晓庄学院,8FA3,化学（师范类）,师范类,,,,,502,49363,,,,,,502,49363,,,,,,,,,本科,,,,,
8005339,云南,本科批,历史,,XFF89EF,,长江师范学院,CA0F,旅游管理,,,,,,527,22891,,,,,,527,22891,,,,,,,,,本科,,,,,
8005340,云南,本科批,历史,,XFF89EF,,长江师范学院,FD19,英语（只招英语语种）,只招英语语种,,,,,528,22474,,,,,,528,22474,,,,,,,,,本科,,,,,
8005341,云南,本科批,历史,,XFF89EF,,长江师范学院,6E5A,园林,,,,,,529,22075,,,,,,529,22075,,,,,,,,,本科,,,,,
8005342,云南,本科批,历史,,XFF89EF,,长江师范学院,FB18,财务管理,,,,,,547,15336,,,,,,547,15336,,,,,,,,,本科,,,,,
8005343,云南,本科批,物理,,XFF89EF,,长江师范学院,32EB,土木工程（（中外合作办学）与马来西亚理科大学合作办学；为中英文双语教学，请非英语语种考生慎重报考）,（中外合作办学,,,,,444,88262,,,,,,444,88262,,,,,,,,,本科,,,,,
8005344,云南,本科批,物理,,XFF89EF,,长江师范学院,CA0F,旅游管理,,,,,,459,77841,,,,,,459,77841,,,,,,,,,本科,,,,,
8005345,云南,本科批,物理,,XFF89EF,,长江师范学院,F11A,机器人工程,,,,,,462,75689,,,,,,462,75689,,,,,,,,,本科,,,,,
8005346,云南,本科批,物理,,XFF89EF,,长江师范学院,C5CB,园艺,,,,,,463,74949,,,,,,463,74949,,,,,,,,,本科,,,,,
8005347,云南,本科批,物理,,XFF89EF,,长江师范学院,BBBB,环境科学与工程类（包含专业：环境科学、环境生态工程）,包含专业：环境科学、环境生态工程,,,,,465,73595,,,,,,465,73595,,,,,,,,,本科,,,,,
8005348,云南,本科批,物理,,XFF89EF,,长江师范学院,28AD,经济统计学,,,,,,468,71551,,,,,,468,71551,,,,,,,,,本科,,,,,
8005349,云南,本科批,物理,,XFF89EF,,长江师范学院,6E5A,园林,,,,,,470,70191,,,,,,470,70191,,,,,,,,,本科,,,,,
8005350,云南,本科批,物理,,XFF89EF,,长江师范学院,371D,工程造价,,,,,,473,68094,,,,,,473,68094,,,,,,,,,本科,,,,,
8005351,云南,本科批,物理,,XFF89EF,,长江师范学院,5E49,食品科学与工程,,,,,,476,66063,,,,,,476,66063,,,,,,,,,本科,,,,,
8005352,云南,本科批,物理,,XFF89EF,,长江师范学院,4ECE,土木工程,,,,,,477,65364,,,,,,477,65364,,,,,,,,,本科,,,,,
8005353,云南,本科批,物理,,XFF89EF,,长江师范学院,C537,机械类（包含专业：机械设计制造及其自动化、智能制造工程）,包含专业：机械设计制造及其自动化、智能制造工程,,,,,478,64646,,,,,,478,64646,,,,,,,,,本科,,,,,
8005354,云南,本科批,物理,,XFF89EF,,长江师范学院,FB18,财务管理,,,,,,484,60708,,,,,,484,60708,,,,,,,,,本科,,,,,
8005355,云南,本科批,物理,,XFF89EF,,长江师范学院,D6ED,化学工程与工艺,,,,,,488,58105,,,,,,488,58105,,,,,,,,,本科,,,,,
8005356,云南,本科批,物理,,XFF89EF,,长江师范学院,FD19,英语（只招英语语种）,只招英语语种,,,,,496,52968,,,,,,496,52968,,,,,,,,,本科,,,,,
8005771,云南,本科批,历史,,X13D123,,成都工业学院,04AF,商务英语（该专业办学地点为宜宾校区，入学后不允许跨校区转专业）,该专业办学地点为宜宾校区，入学后不允许跨校区转专业,,,,,514,28457,,,,,,514,28457,,,,,,,,,本科,,,,,
8005772,云南,本科批,历史,,X13D123,,成都工业学院,3E25,国际商务,,,,,,529,22075,,,,,,529,22075,,,,,,,,,本科,,,,,
8005773,云南,本科批,历史,,X13D123,,成都工业学院,FBFE,物流管理,,,,,,530,21675,,,,,,530,21675,,,,,,,,,本科,,,,,
8005774,云南,本科批,物理,,X13D123,,成都工业学院,D159,通信工程（第一学年在宜宾校区就读，第二、三、四学年在郫都校区就读）,第一学年在宜宾校区就读，第二、三、四学年在郫都校区就读,,,,,515,41877,,,,,,515,41877,,,,,,,,,本科,,,,,
8005775,云南,本科批,物理,,X13D123,,成都工业学院,E9A7,环境科学与工程,,,,,,515,41877,,,,,,515,41877,,,,,,,,,本科,,,,,
8005776,云南,本科批,物理,,X13D123,,成都工业学院,0EBE,电子信息类（包含专业：电子信息工程、微电子科学与工程、集成电路设计与集成系统、光电信息科学与工程）,包含专业：电子信息工程、微电子科学与工程、集成电路设计与集成系统、光电信息科学与工程,,,,,517,40780,,,,,,517,40780,,,,,,,,,本科,,,,,
8005777,云南,本科批,物理,,X13D123,,成都工业学院,4718,数据科学与大数据技术,,,,,,517,40780,,,,,,517,40780,,,,,,,,,本科,,,,,
